,برچسب فولدر,words,Finglish,phonetic,phonetic-separated
1074,1075,سرمه,sorme,sormeː,s-o-r-m-eː
1075,1076,کات,kat,kɑt,k-ɑ-t
1076,1077,گرز,gorz,ɡorz,ɡ-o-r-z
1077,1078,ویزیتور,vizitor,vizituːr,v-i-z-i-t-uː-r
1078,1079,نبوغ,nobogh,nobuq1,n-o-b-u-q-1
1079,1080,آستیگماتیسم,astigmatism,ɑstiɡamɑtisam,ɑ-s-t-i-ɡ-a-m-ɑ-t-i-s-a-m
1080,1081,حسن,hasan,hasan,h-a-s-a-n
1081,1082,کاربردی,karbordi,kɑrbordi,k-ɑ-r-b-o-r-d-i
1082,1083,گرم,garm,ɡarm,ɡ-a-r-m
1083,1084,آماده شو,amade shoo,ɑmɑdeː tʃo,ɑ-m-ɑ-d-eː_tʃ-o
1084,1085,آمدم,amadam,ɑmadam,ɑ-m-a-d-a-m
1085,1086,انجام داده بودند,nejatam dade bodand,aːndʒɑm dɑdeː buːdand,aː-n-dʒ-ɑ-m_d-ɑ-d-eː_b-uː-d-a-n-d
1086,1087,باختم,bakhtam,bɑxtam,b-ɑ-x-t-a-m
1087,1088,بودیم,boodim,buːdim,b-uː-d-i-m
1088,1089,پختم,pokhtam,poxtam,p-o-x-t-a-m
1089,1090,پذیرفتن,paziroftan,paziroftan,p-a-z-i-r-o-f-t-a-n
1090,1091,داشتند,dashtand,dɑʃtand,d-ɑ-ʃ-t-a-n-d
1091,1092,دیده شده بودن,dide shode bodand,dideː ʃodeː buːdan,d-i-d-eː_ʃ-o-d-eː_b-uː-d-a-n
1092,1093,دیده می‌شود,dide mishavand,dideː miʃavad,d-i-d-eː_m-i-ʃ-a-v-a-d
1093,1094,رسیدن,residan,residan,r-e-s-i-d-a-n
1094,1095,رفتن,raftan,raftan,r-a-f-t-a-n
1095,1096,رفته,rafte,rafteː,r-a-f-t-eː
1096,1097,کاشتن,kashtan,kɑʃtan,k-ɑ-ʃ-t-a-n
1097,1098,کشتن,koshtan,koʃtan,k-o-ʃ-t-a-n
1098,1099,کوبیدن ,koobidan,kuːbidan,k-uː-b-i-d-a-n
1099,1100,گذراندن ,gozarandan,ɡozarɑndan,ɡ-o-z-a-r-ɑ-n-d-a-n
1100,1101,گفتن ,goftan,ɡoftan,ɡ-o-f-t-a-n
1101,1102,می توانم,mitavanam,mi tavɑnam,m-i_t-a-v-ɑ-n-a-m
1102,1103,می توانی,mitavani,mi tavɑni,m-i_t-a-v-ɑ-n-i
1103,1104,می‌آمدند,mi amadand,miɑmadand,m-i-ɑ-m-a-d-a-n-d
1104,1105,می‌آید,mi ayad,miɑjad,m-i-ɑ-j-a-d
1105,1106,می‌آیند,mi ayand,miɑjand,m-i-ɑ-j-a-n-d
1106,1107,می‌باشند,mi bashand,mibɑʃand,m-i-b-ɑ-ʃ-a-n-d
1107,1108,می‌بینند,mi binand,mibinand,m-i-b-i-n-a-n-d
1108,1109,می‌بینی,mi bini ,mibini,m-i-b-i-n-i
1109,1110,می‌خوانی,mi khani,mixɑni,m-i-x-ɑ-n-i
1110,1111,می‌خواهد,mi khahand,mixɑhad,m-i-x-ɑ-h-a-d
1111,1112,می‌خواهند,mi khahand,mixɑhand,m-i-x-ɑ-h-a-n-d
1112,1113,می‌خواهی,mi khahi,mixɑhi,m-i-x-ɑ-h-i
1113,1114,می‌داند,mi danad,midɑnad,m-i-d-ɑ-n-a-d
1114,1115,می‌روند,mi ravand,miravand,m-i-r-a-v-a-n-d
1115,1116,می‌روی,mi ravi,miruje,m-i-r-u-j-e
1116,1117,می‌شنود,mi shenavad,miʃonuːd,m-i-ʃ-o-n-uː-d
1117,1118,می‌شنوی,mi shenavi,miʃenavi,m-i-ʃ-e-n-a-v-i
1118,1119,می‌شود,mi shavad,miʃavad,m-i-ʃ-a-v-a-d
1119,1120,می‌فهمند,mi fahmand,mifahmand,m-i-f-a-h-m-a-n-d
1120,1121,می‌گذارد,mi gozarad,miɡozɑrad,m-i-ɡ-o-z-ɑ-r-a-d
1121,1122,می‌گذرند,mi gozarand,miɡozarand,m-i-ɡ-o-z-a-r-a-n-d
1122,1123,می‌گفتند,mi goftand,miɡoftand,m-i-ɡ-o-f-t-a-n-d
1123,1124,می‌گویند,mi gooyand,miɡujand,m-i-ɡ-u-j-a-n-d
1124,1125,می‌ماند,mi manad,mimɑnd,m-i-m-ɑ-n-d
1125,1126,می‌مانند,mi manand,mimɑnand,m-i-m-ɑ-n-a-n-d
1126,1127,می‌میرد,mi mirad,mimirad,m-i-m-i-r-a-d
1127,1128,می‌میرند,mi mirand,mimirand,m-i-m-i-r-a-n-d
1128,1129,نمی‌داند,nemi danad,nemidɑnad,n-e-m-i-d-ɑ-n-a-d
1129,1130,نمی‌فهمد,nemi fahmad,nemifahmad,n-e-m-i-f-a-h-m-a-d
1130,1131,نمی‌فهمی,nemi fahmi,nemifahmi,n-e-m-i-f-a-h-m-i
1131,1132,نوشته شده بودند,neveshte shode boodand,neveʃteː ʃodeː buːdand,n-e-v-e-ʃ-t-eː_ʃ-o-d-eː_b-uː-d-a-n-d
1132,1133,ورزیدن,varzidan,varzidan,v-a-r-z-i-d-a-n
1133,1134,گذراندم,gozarandam,ɡozarɑndam,ɡ-o-z-a-r-ɑ-n-d-a-m
1134,1135,گذراندی,gozarandi,ɡozarɑndi,ɡ-o-z-a-r-ɑ-n-d-i
1135,1136,گذراند,gozarand,ɡozarɑnd,ɡ-o-z-a-r-ɑ-n-d
1136,1137,گذراندیم,gozarandim,ɡozarɑndim,ɡ-o-z-a-r-ɑ-n-d-i-m
1137,1138,گذراندید,gozarandid,ɡozarɑndid,ɡ-o-z-a-r-ɑ-n-d-i-d
1138,1139,گذراندند,gozarandand,ɡozarɑndand,ɡ-o-z-a-r-ɑ-n-d-a-n-d
1139,1140,می گذراندم,mi gozaranam,mi ɡozarɑndam,m-i_ɡ-o-z-a-r-ɑ-n-d-a-m
1140,1141,می گذراندی,mi gozarandi,mi ɡozarɑndi,m-i_ɡ-o-z-a-r-ɑ-n-d-i
1141,1142,می گذراند,mi gozaranad,mi ɡozarɑnd,m-i_ɡ-o-z-a-r-ɑ-n-d
1142,1143,می گذراندیم,mi gozarandim,mi ɡozarɑndim,m-i_ɡ-o-z-a-r-ɑ-n-d-i-m
1143,1144,می گذراندید,mi gozarandid,mi ɡozarɑndid,m-i_ɡ-o-z-a-r-ɑ-n-d-i-d
1144,1145,می گذراندند,mi gozarandand,mi ɡozarɑndand,m-i_ɡ-o-z-a-r-ɑ-n-d-a-n-d
1145,1146,گذرانده ام,gozarande and,ɡozarɑndeː am,ɡ-o-z-a-r-ɑ-n-d-eː_a-m
1146,1147,گذرانده ای,gozarande i,ɡozarɑndeː iː,ɡ-o-z-a-r-ɑ-n-d-eː_iː
1147,1148,گذرانده,gozarande,ɡozarɑndeː,ɡ-o-z-a-r-ɑ-n-d-eː
1148,1149,گذرانده ایم,gozarande im,ɡozarɑndeː iːm,ɡ-o-z-a-r-ɑ-n-d-eː_iː-m
1149,1150,گذرانده اید,gozarande id,ɡozarɑndeː iːd,ɡ-o-z-a-r-ɑ-n-d-eː_iː-d
1150,1151,گذرانده اند,gozarande and,ɡozarɑndeː and,ɡ-o-z-a-r-ɑ-n-d-eː_a-n-d
1151,1152,می گذرانم,mi gozaranam,mi ɡozarɑnam,m-i_ɡ-o-z-a-r-ɑ-n-a-m
1152,1153,می گذرانی,mi gozarani,mi ɡozarɑni,m-i_ɡ-o-z-a-r-ɑ-n-i
1153,1154,می گذرانیم,mi gozaranim,mi ɡozarɑnim,m-i_ɡ-o-z-a-r-ɑ-n-i-m
1154,1155,می گذرانید,mi gozaranid,mi ɡozarɑnid,m-i_ɡ-o-z-a-r-ɑ-n-i-d
1155,1156,می گذرانند,mi gozaranand,mi ɡozarɑnand,m-i_ɡ-o-z-a-r-ɑ-n-a-n-d
1156,1157,بگذرانم,begozaranam,beɡozarɑnam,b-e-ɡ-o-z-a-r-ɑ-n-a-m
1157,1158,بگذران,begozaran ,beɡozarɑn,b-e-ɡ-o-z-a-r-ɑ-n
1158,1159,بگذراند,begozaranad,beɡozarɑnd,b-e-ɡ-o-z-a-r-ɑ-n-d
1159,1160,بگذرانیم,begozaranim,beɡozarɑnim,b-e-ɡ-o-z-a-r-ɑ-n-i-m
1160,1161,بگذرانید,begozaranid,beɡozarɑnid,b-e-ɡ-o-z-a-r-ɑ-n-i-d
1161,1162,بگذرانند,begozaranand,beɡozarɑnand,b-e-ɡ-o-z-a-r-ɑ-n-a-n-d
1162,1163,گذشتم,gozashtam,ɡozaʃtam,ɡ-o-z-a-ʃ-t-a-m
1163,1164,گذشتی,gozashti,ɡozaʃti,ɡ-o-z-a-ʃ-t-i
1164,1165,گذشت,gozasht,ɡozaʃt,ɡ-o-z-a-ʃ-t
1165,1166,گذشتیم,gozashtim,ɡozaʃtim,ɡ-o-z-a-ʃ-t-i-m
1166,1167,گذشتید,gozhastid,ɡozaʃtid,ɡ-o-z-a-ʃ-t-i-d
1167,1168,گذشتند,gozashtand,ɡozaʃtand,ɡ-o-z-a-ʃ-t-a-n-d
1168,1169,می گذشتن,mi gozashtan,mi ɡozaʃtan,m-i_ɡ-o-z-a-ʃ-t-a-n
1169,1170,می گذشتی,mi gozashti,mi ɡozaʃti,m-i_ɡ-o-z-a-ʃ-t-i
1170,1171,می گذشت,mi gozasht,mi ɡozaʃt,m-i_ɡ-o-z-a-ʃ-t
1171,1172,می گذشتیم,mi gozashtim ,mi ɡozaʃtim,m-i_ɡ-o-z-a-ʃ-t-i-m
1172,1173,می گذشتید,mi gozashtid,mi ɡozaʃtid,m-i_ɡ-o-z-a-ʃ-t-i-d
1173,1174,می گذشتند,mi gozashtand,mi ɡozaʃtand,m-i_ɡ-o-z-a-ʃ-t-a-n-d
1174,1175,گذشته ام,gozashte am,ɡozaʃteː am,ɡ-o-z-a-ʃ-t-eː_a-m
1175,1176,گذشته ای,gozashte i,ɡozaʃteː iː,ɡ-o-z-a-ʃ-t-eː_iː
1176,1177,گذشته,gozashte,ɡozaʃteː,ɡ-o-z-a-ʃ-t-eː
1177,1178,گذشته ایم,gozhashte im,ɡozaʃteː iːm,ɡ-o-z-a-ʃ-t-eː_iː-m
1178,1179,گذشته اید,gozashte id,ɡozaʃteː iːd,ɡ-o-z-a-ʃ-t-eː_iː-d
1179,1180,گذشته اند,gozashte and,ɡozaʃteː and,ɡ-o-z-a-ʃ-t-eː_a-n-d
1180,1181,می گذرم,mi gozaram,mi ɡozaram,m-i_ɡ-o-z-a-r-a-m
1181,1182,می گذری,mi gozari,mi ɡozari,m-i_ɡ-o-z-a-r-i
1182,1183,می گذرد,mi gozarad,mi ɡozarad,m-i_ɡ-o-z-a-r-a-d
1183,1184,می گذریم,mi gozaram,mi ɡozarim,m-i_ɡ-o-z-a-r-i-m
1184,1185,می گذرید,mi gozarid,mi ɡozarid,m-i_ɡ-o-z-a-r-i-d
1185,1186,می گذرند,mi gozarand,mi ɡozarand,m-i_ɡ-o-z-a-r-a-n-d
1186,1187,بگذرم,begozaram,beɡozaram,b-e-ɡ-o-z-a-r-a-m
1187,1188,بگذر,begozar,beɡozar,b-e-ɡ-o-z-a-r
1188,1189,بگذرد,begozarad,beɡozarad,b-e-ɡ-o-z-a-r-a-d
1189,1190,بگذریم,begozarim,beɡozarim,b-e-ɡ-o-z-a-r-i-m
1190,1191,بگذرید,begozarid,beɡozarid,b-e-ɡ-o-z-a-r-i-d
1191,1192,بگذرند,begozarand,beɡozarand,b-e-ɡ-o-z-a-r-a-n-d
1192,1193,گرفتم,gereftam,ɡereftam,ɡ-e-r-e-f-t-a-m
1193,1194,گرفتی,gerefti,ɡerefti,ɡ-e-r-e-f-t-i
1194,1195,گرفت,gereft,ɡereft,ɡ-e-r-e-f-t
1195,1196,گرفتیم,gereftim,ɡereftim,ɡ-e-r-e-f-t-i-m
1196,1197,گرفتید,gereftid,ɡereftid,ɡ-e-r-e-f-t-i-d
1197,1198,گرفتند,gereftand,ɡereftand,ɡ-e-r-e-f-t-a-n-d
1198,1199,می گرفتم,mi gereftam,mi ɡereftam,m-i_ɡ-e-r-e-f-t-a-m
1199,1200,می گرفتی,mi gerefti,mi ɡerefti,m-i_ɡ-e-r-e-f-t-i
1200,1201,می گرفت,mi gereft,mi ɡereft,m-i_ɡ-e-r-e-f-t
1201,1202,می گرفتیم,mi gerftim,mi ɡereftim,m-i_ɡ-e-r-e-f-t-i-m
1202,1203,می گرفتید,mi gereftid,mi ɡereftid,m-i_ɡ-e-r-e-f-t-i-d
1203,1204,می گرفتند,mi gereftand,mi ɡereftand,m-i_ɡ-e-r-e-f-t-a-n-d
1204,1205,گرفته ام,gerefte am,ɡerefteː am,ɡ-e-r-e-f-t-eː_a-m
1205,1206,گرفته ای,gerefte i,ɡerefteː iː,ɡ-e-r-e-f-t-eː_iː
1206,1207,گرفته,gerefte,ɡerefteː,ɡ-e-r-e-f-t-eː
1207,1208,گرفته ایم,gerefte im,ɡerefteː iːm,ɡ-e-r-e-f-t-eː_iː-m
1208,1209,گرفته اید,gerefte id,ɡerefteː iːd,ɡ-e-r-e-f-t-eː_iː-d
1209,1210,گرفته اند,gerefte and,ɡerefteː and,ɡ-e-r-e-f-t-eː_a-n-d
1210,1211,می گیرم,mi giram,mi ɡiram,m-i_ɡ-i-r-a-m
1211,1212,می گیری,mi giri ,mi ɡiri,m-i_ɡ-i-r-i
1212,1213,می گیرد,mi girad,mi ɡirad,m-i_ɡ-i-r-a-d
1213,1214,می گیریم,mi girim,mi ɡirim,m-i_ɡ-i-r-i-m
1214,1215,می گیرید,mi girid,mi ɡirid,m-i_ɡ-i-r-i-d
1215,1216,می گیرند,mi girand,mi ɡirand,m-i_ɡ-i-r-a-n-d
1216,1217,بگیرم,begiram,beɡiram,b-e-ɡ-i-r-a-m
1217,1218,بگیرد,begirad,beɡirad,b-e-ɡ-i-r-a-d
1218,1219,بگیریم,begirim,beɡirim,b-e-ɡ-i-r-i-m
1219,1220,بگیرید,begirid,beɡirid,b-e-ɡ-i-r-i-d
1220,1221,بگیرند,begirand,beɡirand,b-e-ɡ-i-r-a-n-d
1221,1222,گشتم,gashtam,ɡaʃtam,ɡ-a-ʃ-t-a-m
1222,1223,گشتی,gashti,ɡaʃti,ɡ-a-ʃ-t-i
1223,1224,گشت,gasht,ɡaʃt,ɡ-a-ʃ-t
1224,1225,گشتیم,gashtim,ɡaʃtim,ɡ-a-ʃ-t-i-m
1225,1226,گشتید,gashtid,ɡaʃtid,ɡ-a-ʃ-t-i-d
1226,1227,گشتند,gashtand,ɡaʃtand,ɡ-a-ʃ-t-a-n-d
1227,1228,می گشتم,mi gashtam,mi ɡaʃtam,m-i_ɡ-a-ʃ-t-a-m
1228,1229,می گشتی,mi gashti,mi ɡaʃti,m-i_ɡ-a-ʃ-t-i
1229,1230,می گشت,mi gasht,mi ɡaʃt,m-i_ɡ-a-ʃ-t
1230,1231,می گشتیم,mi gashtim,mi ɡaʃtim,m-i_ɡ-a-ʃ-t-i-m
1231,1232,می گشتید,mi gashid,mi ɡaʃtid,m-i_ɡ-a-ʃ-t-i-d
1232,1233,می گشتند,mi gashtand,mi ɡaʃtand,m-i_ɡ-a-ʃ-t-a-n-d
1233,1234,گشته ام,ghaste am,ɡaʃteː am,ɡ-a-ʃ-t-eː_a-m
1234,1235,گشته ای,ghashte i,ɡaʃteː iː,ɡ-a-ʃ-t-eː_iː
1235,1236,گشته,gashte,ɡaʃteː,ɡ-a-ʃ-t-eː
1236,1237,گشته اید,ghaste id,ɡaʃteː iːd,ɡ-a-ʃ-t-eː_iː-d
1237,1238,گشته اند,ghashte and,ɡaʃteː and,ɡ-a-ʃ-t-eː_a-n-d
1238,1239,می گردم,mi gardam,mi ɡardam,m-i_ɡ-a-r-d-a-m
1239,1240,می گردی,mi gardi,mi ɡardi,m-i_ɡ-a-r-d-i
1240,1241,می گردد,mi gardad,mi ɡardad,m-i_ɡ-a-r-d-a-d
1241,1242,می گردیم,mi gardim,mi ɡardim,m-i_ɡ-a-r-d-i-m
1242,1243,می گردید,mi gardid,mi ɡardid,m-i_ɡ-a-r-d-i-d
1243,1244,می گردند,mi gardand,mi ɡardand,m-i_ɡ-a-r-d-a-n-d
1244,1245,بگردم,begardam,beɡardam,b-e-ɡ-a-r-d-a-m
1245,1246,بگرد,begardam,beɡard,b-e-ɡ-a-r-d
1246,1247,بگردد,begardad,beɡardad,b-e-ɡ-a-r-d-a-d
1247,1248,بگردیم,begardim,beɡardim,b-e-ɡ-a-r-d-i-m
1248,1249,بگردید,begardid,beɡardid,b-e-ɡ-a-r-d-i-d
1249,1250,بگردند,begardand,beɡardand,b-e-ɡ-a-r-d-a-n-d
1250,1251,گفتم,goftam,ɡoftam,ɡ-o-f-t-a-m
1251,1252,گفتی,gofti,ɡofti,ɡ-o-f-t-i
1252,1253,گفت,goft,ɡoft,ɡ-o-f-t
1253,1254,گفتیم,goftim,ɡoftim,ɡ-o-f-t-i-m
1254,1255,گفتید,goftid,ɡoftid,ɡ-o-f-t-i-d
1255,1256,گفتند,goftand,ɡoftand,ɡ-o-f-t-a-n-d
1256,1257,می گفتم,mi goftam,mi ɡoftam,m-i_ɡ-o-f-t-a-m
1257,1258,می گفتی,mi gofti,mi ɡofti,m-i_ɡ-o-f-t-i
1258,1259,می گفت,mi goft,mi ɡoft,m-i_ɡ-o-f-t
1259,1260,می گفتیم,mi goftim,mi ɡoftim,m-i_ɡ-o-f-t-i-m
1260,1261,می گفتید,mi goftid,mi ɡoftid,m-i_ɡ-o-f-t-i-d
1261,1262,می گفتند,mi goftand,mi ɡoftand,m-i_ɡ-o-f-t-a-n-d
1262,1263,گفته ام,gofte and,ɡofteː am,ɡ-o-f-t-eː_a-m
1263,1264,گفته ای,gofte i,ɡofteː iː,ɡ-o-f-t-eː_iː
1264,1265,گفته,gofte,ɡofteː,ɡ-o-f-t-eː
1265,1266,گفته ایم,gofte im,ɡofteː iːm,ɡ-o-f-t-eː_iː-m
1266,1267,گفته اید,gofte id,ɡofteː iːd,ɡ-o-f-t-eː_iː-d
1267,1268,گفته اند,gofte and,ɡofteː and,ɡ-o-f-t-eː_a-n-d
1268,1269,می گویم,mi goyam,mi ɡuːjam,m-i_ɡ-uː-j-a-m
1269,1270,می گویی,mi goii,mi ɡuːiː,m-i_ɡ-uː-iː
1270,1271, می گوید,mi goyad,mi ɡujad,m-i_ɡ-u-j-a-d
1271,1272,می گوییم,mi goiim,mi ɡujiːm,m-i_ɡ-u-j-iː-m
1272,1273,می گویید,mi goiid,mi ɡuiːd,m-i_ɡ-u-iː-d
1273,1274,می گویند,mi goyand,mi ɡujand,m-i_ɡ-u-j-a-n-d
1274,1275,بگویم,begoyam,beɡuːjam,b-e-ɡ-uː-j-a-m
1275,1276,بگوید,begoyam,beɡujad,b-e-ɡ-u-j-a-d
1276,1277,بگوییم,begoiim,beɡuiːm,b-e-ɡ-u-iː-m
1277,1278,بگویید,begoiid,beɡuːiːd,b-e-ɡ-uː-iː-d
1278,1279,بگویند,begoyand,beɡuːjand,b-e-ɡ-uː-j-a-n-d
1279,1280,ماندم,mandam,mɑndam,m-ɑ-n-d-a-m
1280,1281,ماندی,mandi,mɑndi,m-ɑ-n-d-i
1281,1282,ماند,mand,mɑnd,m-ɑ-n-d
1282,1283,ماندیم,mandim,mɑndim,m-ɑ-n-d-i-m
1283,1284,ماندید,mandand,mɑndid,m-ɑ-n-d-i-d
1284,1285,ماندند,mandand,mɑndand,m-ɑ-n-d-a-n-d
1285,1286,می ماندم,mi mandam,mi mɑndam,m-i_m-ɑ-n-d-a-m
1286,1287,می ماندی,mi mandi,mi mɑndi,m-i_m-ɑ-n-d-i
1287,1288,می ماند,mi mand,mi mɑnd,m-i_m-ɑ-n-d
1288,1289,می ماندیم,mi mandim,mi mɑndim,m-i_m-ɑ-n-d-i-m
1289,1290,می ماندید,mi mandid,mi mɑndid,m-i_m-ɑ-n-d-i-d
1290,1291,می ماندند,mi mandand,mi mɑndand,m-i_m-ɑ-n-d-a-n-d
1291,1292,مانده ام,mande am,mɑndeː am,m-ɑ-n-d-eː_a-m
1292,1293,مانده ای,mande i,mɑndeː iː,m-ɑ-n-d-eː_iː
1293,1294,مانده,mande,mɑndeː,m-ɑ-n-d-eː
1294,1295,مانده ایم,mande im,mɑndeː iːm,m-ɑ-n-d-eː_iː-m
1295,1296,مانده اید,mande id,mɑndeː iːd,m-ɑ-n-d-eː_iː-d
1296,1297,مانده اند,mande and,mɑndeː and,m-ɑ-n-d-eː_a-n-d
1297,1298,می مانم,mi manam,mi mɑnam,m-i_m-ɑ-n-a-m
1298,1299,می مانی,mi mani,mi mɑni,m-i_m-ɑ-n-i
1299,1300,می مانیم,mi manim,mi mɑnim,m-i_m-ɑ-n-i-m
1300,1301,می مانید,mi manid,mi mɑnid,m-i_m-ɑ-n-i-d
1301,1302,می مانند,mi manand,mi mɑnand,m-i_m-ɑ-n-a-n-d
1302,1303,بمانم,bemanim,bemɑnam,b-e-m-ɑ-n-a-m
1303,1304,بماند,bemanad,bemɑnad,b-e-m-ɑ-n-a-d
1304,1305,بمانیم,bemanim,bemɑnim,b-e-m-ɑ-n-i-m
1305,1306,بمانید,bemanid,bemɑnid,b-e-m-ɑ-n-i-d
1306,1307,بمانند,bemanand,bemɑnand,b-e-m-ɑ-n-a-n-d
1307,1308,مردم,mordam,mardom,m-a-r-d-o-m
1308,1309,مردی,mordi,mardi,m-a-r-d-i
1309,1310,مرد,mord,mard,m-a-r-d
1310,1311,مردیم,mordim,mardim,m-a-r-d-i-m
1311,1312,مردید,mordid,mardid,m-a-r-d-i-d
1312,1313,مردند,mordand,mardand,m-a-r-d-a-n-d
1313,1314,می مردم,mi mordam,mi mardom,m-i_m-a-r-d-o-m
1314,1315,می مردی,mi mordi,mi mardi,m-i_m-a-r-d-i
1315,1316,می مرد,mi mord,mi mard,m-i_m-a-r-d
1316,1317,می مردیم,mi mordim,mi mardim,m-i_m-a-r-d-i-m
1317,1318,می مردید,mi mordid,mi mardid,m-i_m-a-r-d-i-d
1318,1319,می مردند,mi mordand,mi mardand,m-i_m-a-r-d-a-n-d
1319,1320,مرده ام,morde am,mordeː am,m-o-r-d-eː_a-m
1320,1321,مرده ای,morde i,mordeː iː,m-o-r-d-eː_iː
1321,1322,مرده,morde,mordeː,m-o-r-d-eː
1322,1323,مرده ایم,morde Im,mordeː iːm,m-o-r-d-eː_iː-m
1323,1324,مرده اید,morde id,mordeː iːd,m-o-r-d-eː_iː-d
1324,1325,مرده اند,morde and,mordeː and,m-o-r-d-eː_a-n-d
1325,1326,می میرم,mi miram,mi miram,m-i_m-i-r-a-m
1326,1327,می میری,mi miri,mi miri,m-i_m-i-r-i
1327,1328,می میرد,mi mirad,mi mirad,m-i_m-i-r-a-d
1328,1329,می میریم,mi mirim,mi mirim,m-i_m-i-r-i-m
1329,1330,می میرید,mi mirid,mi mirid,m-i_m-i-r-i-d
1330,1331,می میرند,mi mirand,mi mirand,m-i_m-i-r-a-n-d
1331,1332,بمیرم,bemiram,bemiram,b-e-m-i-r-a-m
1332,1333,بمیر,bemir ,bemir,b-e-m-i-r
1333,1334,بمیرد,bemirad,bemirad,b-e-m-i-r-a-d
1334,1335,بمیریم,bemirim,bemirim,b-e-m-i-r-i-m
1335,1336,بمیرید,bemirid,bemirid,b-e-m-i-r-i-d
1336,1337,بمیرند,bemirand,bemirand,b-e-m-i-r-a-n-d
1337,1338,نوشتم,neveshtam,neveʃtam,n-e-v-e-ʃ-t-a-m
1338,1339,نوشتی,neveshti,neveʃti,n-e-v-e-ʃ-t-i
1339,1340,نوشت,nevesht,neveʃt,n-e-v-e-ʃ-t
1340,1341,نوشتیم,neveshtim,neveʃtim,n-e-v-e-ʃ-t-i-m
1341,1342,توشتید,neveshtid,tavaʃʃotid,t-a-v-a-ʃ-ʃ-o-t-i-d
1342,1343,نوشتند,neveshtand,neveʃtand,n-e-v-e-ʃ-t-a-n-d
1343,1344,می نوشتیم,mineveshtim,mi neveʃtim,m-i_n-e-v-e-ʃ-t-i-m
1344,1345,می نوشتی,mi neveshtim,mi neveʃti,m-i_n-e-v-e-ʃ-t-i
1345,1346,می نوشت,mi nevesht ,mi neveʃt,m-i_n-e-v-e-ʃ-t
1346,1347,می نوشتید,mi neveshtid,mi neveʃtid,m-i_n-e-v-e-ʃ-t-i-d
1347,1348,می نوشتند,mi neveshtand,mi neveʃtand,m-i_n-e-v-e-ʃ-t-a-n-d
1348,1349,نوشته ام,neveshte am,neveʃteː am,n-e-v-e-ʃ-t-eː_a-m
1349,1350,نوشته ای,neveshte i,neveʃteː iː,n-e-v-e-ʃ-t-eː_iː
1350,1351,نوشته,neveshte ,neveʃteː,n-e-v-e-ʃ-t-eː
1351,1352,نوشته ایم,neveshte im,neveʃteː iːm,n-e-v-e-ʃ-t-eː_iː-m
1352,1353,نوشته اید,neveshte id,neveʃteː iːd,n-e-v-e-ʃ-t-eː_iː-d
1353,1354,نوشته اند,neveshte and,neveʃteː and,n-e-v-e-ʃ-t-eː_a-n-d
1354,1355,می نویسم,mi nevisam,mi nevisam,m-i_n-e-v-i-s-a-m
1355,1356,می نویسی,mi nevisi,mi nevisi,m-i_n-e-v-i-s-i
1356,1357,می نویسد,mi nevisad,mi nevisad,m-i_n-e-v-i-s-a-d
1357,1358,می نویسیم,mi nevisim,mi nevisim,m-i_n-e-v-i-s-i-m
1358,1359,می نویسید,mi nevisid,mi nevisid,m-i_n-e-v-i-s-i-d
1359,1360,می نویسند,mi nevisand,mi nevisand,m-i_n-e-v-i-s-a-n-d
1360,1361,بنویسم,benevisam,benevisam,b-e-n-e-v-i-s-a-m
1361,1362,بنویسد,benevisad,benevisad,b-e-n-e-v-i-s-a-d
1362,1363,بنویسیم,benevisim,benevisim,b-e-n-e-v-i-s-i-m
1363,1364,بنویسید,benevisid,benevisid,b-e-n-e-v-i-s-i-d
1364,1365,بنویسند,benevisand,benevisand,b-e-n-e-v-i-s-a-n-d
1365,1366,ورزیدم,varzidam,varzidam,v-a-r-z-i-d-a-m
1366,1367,ورزیدی,varzidi,varzidi,v-a-r-z-i-d-i
1367,1368,ورزید,varzid,varzid,v-a-r-z-i-d
1368,1369,ورزیدیم,varzidim,varzidim,v-a-r-z-i-d-i-m
1369,1370,ورزیدید,varzidid,varzidid,v-a-r-z-i-d-i-d
1370,1371,ورزیدند,varzidand,varzidand,v-a-r-z-i-d-a-n-d
1371,1372,می ورزیدم,mi varzidam,mi varzidam,m-i_v-a-r-z-i-d-a-m
1372,1373,می ورزیدی,mi varzidi,mi varzidi,m-i_v-a-r-z-i-d-i
1373,1374,می ورزید,mi varzid,mi varzid,m-i_v-a-r-z-i-d
1374,1375,می ورزیدیم,mi varzidim,mi varzidim,m-i_v-a-r-z-i-d-i-m
1375,1376,می ورزیدید,mi varzidid,mi varzidid,m-i_v-a-r-z-i-d-i-d
1376,1377,می ورزیدند,mi varzidand,mi varzidand,m-i_v-a-r-z-i-d-a-n-d
1377,1378,ورزیده ام,varzide am,varzideː am,v-a-r-z-i-d-eː_a-m
1378,1379,ورزیده ای, varzide i,varzideː iː,v-a-r-z-i-d-eː_iː
1379,1380,ورزیده,varzide  ,varzideː,v-a-r-z-i-d-eː
1380,1381,ورزیده ایم,varzide im,varzideː iːm,v-a-r-z-i-d-eː_iː-m
1381,1382,ورزیده اید,varzide id,varzideː iːd,v-a-r-z-i-d-eː_iː-d
1382,1383,ورزیده اند,varzide and,varzideː and,v-a-r-z-i-d-eː_a-n-d
1383,1384,می ورزم,mi varzam,mi varzam,m-i_v-a-r-z-a-m
1384,1385,می ورزی,mi varzi,mi varzi,m-i_v-a-r-z-i
